owner,id,price
0x3e73f7601d5564abd124dd8ce38f2b845af0b78b,4786,5.5
0x3e73f7601d5564abd124dd8ce38f2b845af0b78b,4786,6.5
0xdee0075b89869cc40135468e861dec990bb4ad6e,4582,28.0
0xdee0075b89869cc40135468e861dec990bb4ad6e,9418,6.5
0xdee0075b89869cc40135468e861dec990bb4ad6e,9022,6.5
0xdee0075b89869cc40135468e861dec990bb4ad6e,9022,7.5
0xdee0075b89869cc40135468e861dec990bb4ad6e,9418,7.0
0x9ccfd6d678d1b467fceb11cd115e6c7afa323460,207,8.25
0x71bb0907200105af696f5f34b5d1efcd72bcff77,208,6.0
0x0237cd1826f5f4cbd2adb64127993f8a04240c62,339,10.0
0x4930d3d0a85848f25b6f89e99708909a82f853e8,219,25.0
0x4930d3d0a85848f25b6f89e99708909a82f853e8,3615,100.0
0x4930d3d0a85848f25b6f89e99708909a82f853e8,6038,30.0
0xe457477edfaaa68c74392b34f2a10b682ceadb87,222,9.9
0xb5522d6309bc8f5442ed0bd7c66f768de90ed94d,1153,20.0
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,232,45.0
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,237,12.0
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,232,45.0
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,237,12.0
0x40a70d6f32e0f510da9dced6f5371e576ef3fcce,9404,24.69
0x40a70d6f32e0f510da9dced6f5371e576ef3fcce,1733,11.69
0x40a70d6f32e0f510da9dced6f5371e576ef3fcce,1733,12.69
0x40a70d6f32e0f510da9dced6f5371e576ef3fcce,9404,26.9
0x40a70d6f32e0f510da9dced6f5371e576ef3fcce,1733,13.69
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,232,45.0
0x3dab0bb675b5f0b041cddeabb6e17ab12532470b,237,12.0
0x4003b5fee68a8659687a854135f61f2cb4f839b6,238,6.9
0x4003b5fee68a8659687a854135f61f2cb4f839b6,9340,11.1
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,239,15.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5210,9.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,2751,10.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,1191,15.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5241,14.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,7421,15.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5210,12.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,2751,12.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,1191,16.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,239,19.8
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,7421,17.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5241,16.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,1191,24.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,1547,5.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,2751,14.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5241,24.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,7421,24.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,239,24.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,8272,24.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,5210,14.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,2751,19.0
0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,1547,6.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0xfefbe4ce8c79e2fbe6de722613759ae4bf866e3d,245,8.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x9f408737fd9a0e925b7bd2793858502a6435a02e,263,5.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x13bedca760c36031fbbf9b3eb45607161c8ccfef,5988,6.0
0x13bedca760c36031fbbf9b3eb45607161c8ccfef,5988,7.0
0x13bedca760c36031fbbf9b3eb45607161c8ccfef,5988,7.35
0x13bedca760c36031fbbf9b3eb45607161c8ccfef,5988,10.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0xf0e751bfb4e1e3157a0789411357409dc8185bde,262,7.77
0xf0e751bfb4e1e3157a0789411357409dc8185bde,1047,6.59
0xf0e751bfb4e1e3157a0789411357409dc8185bde,2490,5.39
0xf0e751bfb4e1e3157a0789411357409dc8185bde,9414,4.59
0x9f408737fd9a0e925b7bd2793858502a6435a02e,263,5.5
0x3d280fde2ddb59323c891cf30995e1862510342f,264,10.0
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,266,6.43
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,5084,5.4
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,5084,5.9
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,5084,6.3
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,5084,7.5
0xe89567c4bf3472f72a2a603d503df61c1e1c2093,5084,8.0
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,5.5
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,5.69
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,603,7.5
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,267,77.77
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,5.75
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,267,88.88
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,5.99
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,6.49
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,267,100.0
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,6.5
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,6.9
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,1150,7.5
0x5c0bd9800782533487bd866fd0ab8aaaccea6df8,267,200.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
0x0c368d683c616073d48fa26f7796dfe3f8d46526,247,6.9
0x0c368d683c616073d48fa26f7796dfe3f8d46526,246,55.0
0x0c368d683c616073d48fa26f7796dfe3f8d46526,286,17.5
0x0c368d683c616073d48fa26f7796dfe3f8d46526,253,9.69
0x0c368d683c616073d48fa26f7796dfe3f8d46526,257,5.75
