owner,id,price
0x5470a0ad35a6066fdd1b47d18b6bb04bffb9f59a,4955,10.0
0xe471ba862dc0c5b86511fbf8054a45e60db924de,9,99.99
0xe471ba862dc0c5b86511fbf8054a45e60db924de,8917,35.0
0xe471ba862dc0c5b86511fbf8054a45e60db924de,1681,30.0
0xe471ba862dc0c5b86511fbf8054a45e60db924de,8917,45.0
0xe471ba862dc0c5b86511fbf8054a45e60db924de,2324,500.0
0x39f1a300727df5ef730567aacb2f3820130bbcd1,2217,9.15
0x39f1a300727df5ef730567aacb2f3820130bbcd1,16,85.0
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,772,13.0
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,3970,24.269
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,4456,26.69
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,4456,26.69
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,4456,26.69
0x30e924cff3c2a73b153d1c935819d752c555eaaf,44,30.0
0x30e924cff3c2a73b153d1c935819d752c555eaaf,5550,20.0
0x14f701bd044a37b9a64f2102b19edd7e83c2edb0,3526,47.5
0xc653a389a8a333dee54e8592e76585701b347721,7456,50.0
0xc653a389a8a333dee54e8592e76585701b347721,53,44.0
0xc653a389a8a333dee54e8592e76585701b347721,2461,19.0
0xc653a389a8a333dee54e8592e76585701b347721,53,65.0
0xc653a389a8a333dee54e8592e76585701b347721,7456,100.0
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,1460,250.0
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,1359,250.0
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,7421,50.0
0x7d544a853dbcd39a53315e7002f4951a6d2f080d,59,40.0
0xbc44bef80fa2741f59e83197e5f47da921de1f14,82,77.0
0xd2db35024d1817defd4bb8617bdd7f05c07a870e,1231,8.9
0xc548be97656fa57bbfd242515c8dc23c5ef41c00,88,11.0
0xababf65104f17efac8804ed76262c612e3b56654,156,12.0
0xababf65104f17efac8804ed76262c612e3b56654,156,50.0
0xd85da7c6f520c957c1ca2e6bb12dafb363ed8b72,102,49.94
0x83b55540d909bddd3064240836be1d4e062ebb65,110,50.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,3759,11.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,121,28.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,3026,15.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,6223,30.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,8141,14.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,7152,27.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,7591,35.0
0xd430eb2f8b8ff47871732f391a313c70c7fd1da4,2530,21.0
0x4a9d79421ce1e159d7f89640edb6fa184cec5d9b,124,14.5
0x6eb115e76ef01de5d6cb3321918193dc160c205f,7842,75.0
0x6eb115e76ef01de5d6cb3321918193dc160c205f,3355,21.0
0x6eb115e76ef01de5d6cb3321918193dc160c205f,2958,45.0
0x6eb115e76ef01de5d6cb3321918193dc160c205f,6055,13.0
0x6eb115e76ef01de5d6cb3321918193dc160c205f,8501,21.0
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,8934,696.969
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,7969,99.69
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,4904,17.69
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,4684,69.69
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,4676,179.69
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,3102,44.69
0x25aaf13451e66f4f322a6105f7b295d1a7e9da96,130,21.69
0x511876aace51210752eab85e6905f05b44e319aa,7428,225.0
0x511876aace51210752eab85e6905f05b44e319aa,5196,225.0
0x511876aace51210752eab85e6905f05b44e319aa,8391,39.0
0x22ca3f21f48e9cd7c1b5c8418879be5dcdce8164,143,20.0
0xe397678d5946f715a61ca5beacd7b33af25a99ff,150,10.5
0x8e5dac173898242cb90f9d6c3bf5d9c88121025a,1154,9.9
0x8e5dac173898242cb90f9d6c3bf5d9c88121025a,154,15.5
0xb6adfd601c7789161c29d4cf720db8af967e332f,7102,9.44
0xb6adfd601c7789161c29d4cf720db8af967e332f,155,9.88
0xb6adfd601c7789161c29d4cf720db8af967e332f,7102,13.48
0xababf65104f17efac8804ed76262c612e3b56654,156,12.0
0xababf65104f17efac8804ed76262c612e3b56654,156,50.0
0x1b286518f6ae3eda6111f0bf13d3409e2e5b9e94,162,420.69
0xcaec752686fa7b7aadfd2756ff79afb328d335c7,2659,15.0
0x2269522ad48aeb971b25042471a44acc8c1b5eca,5695,18.8
0xd402fc431f50e3fed00bcc5e3ef84e5c44058bcd,169,15.0
0x4a174d08e2c0502fc960399be3f9f9e9321a239b,180,11.5
0xf787fdd3b872db1a8140a279b17ad93c4dfb1cf8,182,44.4
0xd6d2f309aa7fd3b0039692238353a671e4c23c87,190,15.0
0xd6d2f309aa7fd3b0039692238353a671e4c23c87,1848,25.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,6312,19.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,7363,12.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,5583,14.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,5610,15.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,193,35.0
0xea39c551834d07ee2ee87f1ceff843c308e089af,5612,29.0
0xef15bd3f923245b24d64d6fbf57f036fe650c23a,196,15.0
