owner,id,price
0xe1d48ddae2b01ef094c1fdb838b8752f4f40cf8b,5,1660.0
0x465092bbe4ca9675c1cf9c7bf2620b2eefc77e25,6,1000.0
0x1d3a44f4ac3a7f603c58c0d8e4a4749ea1757af8,10,185.0
0x73d855f11cbc037966439570cdf99fcb96057827,8854,370.0
0x73d855f11cbc037966439570cdf99fcb96057827,23,500.0
0x73d855f11cbc037966439570cdf99fcb96057827,8854,500.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,626,200.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,824,300.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,1094,175.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,31,500.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,1329,200.0
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,9834,450.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5211,97.9797
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,7864,112.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5211,101.0101
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,9763,94.9494
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,6705,111.1111
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,6810,105.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,9896,150.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5066,105.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5066,135.3535
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,34,134.3434
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,4222,172.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,4222,172.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,9091,112.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,33,100.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5211,110.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5211,97.9797
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,7864,112.0
0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,5211,101.0101
